"EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","JobInvolvement","PerformanceRating","avg_workings_hours","num_of_leaves","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance"
336,36,"No","Travel_Rarely","Sales",6,3,"Medical","Female",2,"Sales Executive","Married",42000,0,22,0,10,3,9,0,5,3,4,7.75430693507413,21,3,2,3
337,29,"No","Travel_Rarely","Research & Development",10,3,"Other","Male",1,"Research Scientist","Married",34520,1,11,0,10,3,10,0,7,2,3,7.76394224851227,16,3,3,3
338,58,"Yes","Travel_Rarely","Research & Development",24,3,"Other","Female",2,"Research Scientist","Single",43170,7,17,0,40,2,31,13,8,3,3,8.92445292288863,17,4,2,3
339,35,"No","Travel_Rarely","Sales",10,4,"Marketing","Female",1,"Research Scientist","Single",26320,3,13,3,7,3,2,2,2,4,3,7.81819402863945,12,4,3,3
340,42,"No","Travel_Rarely","Sales",15,1,"Marketing","Male",2,"Laboratory Technician","Married",46680,9,18,2,8,2,4,0,2,3,3,10.4868270919295,17,4,4,3
341,28,"Yes","Travel_Rarely","Research & Development",19,4,"Medical","Female",2,"Sales Executive","Single",32040,6,16,1,5,4,2,2,1,2,3,6.25433086954188,19,3,3,2
342,36,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences","Male",2,"Healthcare Representative","Married",27200,4,14,1,8,3,5,0,4,3,3,6.66909437468766,21,3,2,3
343,32,"No","Travel_Rarely","Research & Development",3,1,"Medical","Male",2,"Manufacturing Director","Married",171810,1,14,0,14,2,14,6,8,2,3,8.02899516242415,18,3,3,3
344,40,"No","Travel_Frequently","Sales",9,3,"Marketing","Male",3,"Manufacturing Director","Single",22380,NA,14,0,10,3,1,0,0,3,3,6.93098901025805,17,1,3,3
345,30,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree","Male",2,"Research Director","Single",14830,5,13,0,12,3,0,0,0,3,3,9.40062094269161,4,3,4,2
346,45,"No","Travel_Rarely","Research & Development",10,4,"Life Sciences","Male",1,"Research Director","Single",56050,1,12,2,1,2,1,0,0,3,3,6.66722716051667,18,2,3,3
347,42,"No","Travel_Rarely","Research & Development",20,2,"Medical","Male",2,"Sales Representative","Married",72950,1,15,0,10,3,9,7,8,3,3,7.61945594358433,6,2,2,2
348,38,"No","Travel_Frequently","Sales",4,3,"Medical","Male",2,"Research Scientist","Divorced",23060,2,19,1,13,5,4,1,2,3,3,7.63273809453709,7,1,1,2
349,34,"No","Travel_Frequently","Research & Development",7,4,"Life Sciences","Male",3,"Laboratory Technician","Single",23480,1,14,1,6,3,5,1,3,3,3,6.91834522062984,14,3,4,3
350,49,"Yes","Travel_Rarely","Sales",7,2,"Life Sciences","Female",2,"Healthcare Representative","Married",89980,1,14,2,9,2,9,7,7,4,3,6.33788762785095,18,3,4,4
351,55,"Yes","Travel_Rarely","Human Resources",16,3,"Technical Degree","Male",4,"Manufacturing Director","Single",43190,4,11,0,12,3,9,7,3,4,3,6.42701104135432,21,3,4,2
352,43,"No","Travel_Rarely","Research & Development",25,2,"Medical","Male",2,"Healthcare Representative","Married",61320,6,13,0,22,3,4,1,0,2,3,7.37606359351619,18,2,1,3
353,27,"No","Travel_Rarely","Sales",2,4,"Medical","Male",2,"Manager","Divorced",33460,1,21,1,9,2,9,0,8,2,4,10.5083864668566,15,3,4,3
354,35,"No","Travel_Rarely","Research & Development",1,3,"Medical","Male",1,"Research Director","Single",108550,3,13,1,17,2,8,1,6,3,3,7.03805687759419,11,3,3,4
355,28,"No","Travel_Rarely","Sales",1,2,"Technical Degree","Female",1,"Sales Executive","Married",22310,1,12,0,8,3,8,7,5,2,3,9.92790779385883,5,2,2,3
356,34,"No","Travel_Rarely","Sales",2,5,"Life Sciences","Male",4,"Research Scientist","Married",23230,0,17,0,4,2,3,0,2,3,3,6.93579365009264,7,3,4,1
357,26,"Yes","Travel_Frequently","Research & Development",22,4,"Other","Female",1,"Sales Executive","Married",20240,1,23,0,8,2,8,1,7,3,4,8.03442186571046,19,3,3,3
358,27,"No","Non-Travel","Sales",1,3,"Technical Degree","Female",1,"Sales Executive","Married",27130,1,11,0,0,2,0,0,0,3,3,7.35082224723502,4,4,4,2
359,51,"No","Travel_Rarely","Sales",16,3,"Medical","Male",3,"Research Scientist","Married",94390,2,15,3,29,0,20,4,17,3,3,6.16704475708319,18,1,3,2
360,44,"No","Travel_Rarely","Sales",24,5,"Medical","Female",1,"Sales Executive","Single",25660,9,11,1,10,3,5,2,3,3,3,6.36678439631325,10,4,2,2
361,25,"No","Travel_Rarely","Research & Development",17,3,"Medical","Male",1,"Laboratory Technician","Single",199260,7,11,3,6,5,4,0,1,4,3,6.46457655352012,11,1,1,2
362,33,"No","Travel_Rarely","Research & Development",8,4,"Life Sciences","Male",3,"Laboratory Technician","Divorced",24510,1,13,1,9,3,9,0,8,2,3,6.07038425039024,8,1,1,3
363,35,"No","Travel_Rarely","Sales",6,4,"Medical","Female",2,"Manager","Single",94190,1,24,1,6,5,6,1,1,2,4,6.94860651197112,18,3,1,2
364,36,"No","Travel_Rarely","Sales",10,4,"Marketing","Male",3,"Manager","Married",86860,1,13,0,18,2,18,4,11,3,3,9.72506462991254,14,2,4,2
365,32,"No","Travel_Rarely","Research & Development",3,4,"Medical","Female",4,"Sales Executive","Divorced",30380,2,20,0,8,3,5,0,3,3,4,7.82662328418241,15,2,4,2
366,30,"No","Travel_Frequently","Research & Development",4,5,"Medical","Male",5,"Sales Representative","Divorced",30580,9,14,1,10,2,5,0,3,3,3,6.46189073544226,19,2,4,2
367,53,"No","Travel_Rarely","Sales",6,3,"Marketing","Male",4,"Sales Executive","Married",23250,7,18,1,35,1,5,0,4,4,3,10.4056681761599,4,1,4,3
368,45,"No","Travel_Rarely","Research & Development",1,5,"Technical Degree","Male",2,"Healthcare Representative","Divorced",20880,4,15,3,18,2,5,0,2,3,3,8.55465265253531,12,4,1,3
369,32,"No","Travel_Rarely","Sales",10,3,"Marketing","Female",1,"Human Resources","Married",30720,5,12,0,9,4,5,1,3,1,3,6.63247170109447,7,3,3,2
370,52,"No","Travel_Frequently","Research & Development",1,1,"Life Sciences","Male",2,"Laboratory Technician","Married",50060,3,16,1,31,2,9,0,0,3,3,7.62556631619748,15,3,4,3
371,37,"No","Travel_Rarely","Sales",24,2,"Life Sciences","Female",4,"Laboratory Technician","Divorced",42570,4,15,0,9,2,1,0,0,3,3,6.15440002542453,8,4,3,3
372,28,"No","Travel_Rarely","Research & Development",21,4,"Life Sciences","Female",1,"Healthcare Representative","Divorced",25000,1,16,2,6,3,5,0,4,3,3,6.34305936710502,22,2,4,3
373,22,"No","Travel_Rarely","Research & Development",2,2,"Life Sciences","Male",1,"Sales Representative","Married",11020,6,19,0,4,3,2,2,2,2,3,6.53106142241379,17,4,4,1
374,44,"No","Travel_Rarely","Research & Development",22,3,"Medical","Female",1,"Laboratory Technician","Married",104530,2,11,1,10,2,3,0,2,3,3,10.9935575471438,8,1,4,2
375,42,"No","Travel_Frequently","Sales",13,4,"Life Sciences","Female",2,"Laboratory Technician","Single",22880,5,16,1,8,4,2,2,2,2,3,8.04485050555721,19,2,4,3
376,36,"No","Travel_Rarely","Research & Development",14,3,"Other","Male",2,"Research Scientist","Married",39290,0,24,0,6,6,5,0,3,2,4,7.6287900071054,7,1,1,3
377,25,"No","Travel_Rarely","Sales",11,3,"Life Sciences","Female",1,"Laboratory Technician","Married",23110,1,11,1,5,2,5,0,3,3,3,10.4241339481195,6,3,1,3
378,35,"No","Travel_Rarely","Research & Development",9,2,"Life Sciences","Female",1,"Healthcare Representative","Married",31400,1,13,1,17,2,17,5,15,2,3,8.82478492333018,20,4,3,3
379,35,"Yes","Travel_Frequently","Sales",8,2,"Marketing","Female",1,"Laboratory Technician","Divorced",36900,1,13,1,10,2,10,7,8,4,3,10.0192347904642,18,4,2,2
380,32,"No","Non-Travel","Research & Development",21,3,"Life Sciences","Male",1,"Sales Executive","Divorced",44500,0,13,0,4,3,3,0,2,3,3,7.92295231149757,20,4,4,3
381,25,"No","Travel_Rarely","Sales",5,3,"Marketing","Female",4,"Research Scientist","Married",27560,1,12,2,5,2,5,0,3,3,3,7.83202712952276,12,3,1,4
382,49,"No","Travel_Rarely","Sales",9,3,"Technical Degree","Female",2,"Sales Representative","Married",190330,2,18,1,7,5,4,0,2,3,3,7.50829120055027,8,3,1,3
383,24,"No","Non-Travel","Research & Development",2,5,"Technical Degree","Male",2,"Healthcare Representative","Married",187220,0,22,1,6,3,5,3,4,3,4,7.60102986379476,19,1,4,2
384,32,"No","Travel_Frequently","Research & Development",12,5,"Medical","Male",1,"Research Scientist","Married",95470,1,13,1,10,3,10,5,3,2,3,6.85997906966875,14,2,2,3
385,38,"No","Travel_Rarely","Sales",22,2,"Medical","Male",1,"Sales Executive","Married",137340,0,13,0,3,3,2,1,2,4,3,7.0312163191426,13,2,2,3
386,42,"No","Travel_Rarely","Research & Development",18,1,"Technical Degree","Female",2,"Research Scientist","Married",199990,2,23,1,17,6,5,1,3,3,4,9.63624958764566,10,3,4,2
387,31,"No","Travel_Rarely","Research & Development",16,3,"Life Sciences","Female",3,"Sales Executive","Married",22790,3,12,1,8,3,6,0,2,3,3,10.115613110929,9,4,4,3
388,29,"Yes","Travel_Rarely","Sales",3,3,"Marketing","Male",3,"Laboratory Technician","Divorced",59160,6,12,0,5,2,3,0,2,3,3,9.41733395063909,7,2,3,3
389,53,"No","Travel_Rarely","Research & Development",9,3,"Life Sciences","Male",1,"Sales Representative","Married",20890,5,16,0,28,2,2,2,2,2,3,6.41559945891416,16,1,4,3
390,35,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",3,"Healthcare Representative","Married",167920,3,12,1,16,3,13,4,8,4,3,7.1477044143807,13,4,2,3
391,37,"No","Travel_Frequently","Research & Development",13,4,"Life Sciences","Female",3,"Human Resources","Married",35640,5,11,0,10,1,5,0,0,1,3,7.44912346723087,14,3,4,3
392,53,"No","Travel_Rarely","Research & Development",1,1,"Medical","Male",1,"Sales Executive","Single",44250,6,22,1,33,2,12,3,8,4,4,6.71419618590942,5,4,4,3
393,43,"No","Travel_Frequently","Research & Development",1,3,"Medical","Male",1,"Laboratory Technician","Married",52650,4,11,1,12,4,5,2,2,3,3,7.62461057231801,15,4,4,2
394,47,"No","Travel_Rarely","Sales",15,4,"Marketing","Female",3,"Research Director","Married",65530,0,15,0,8,2,7,7,7,3,3,10.6951401786827,5,3,4,3
395,37,"No","Non-Travel","Research & Development",1,5,"Medical","Female",2,"Research Scientist","Single",62610,1,12,0,10,1,10,0,9,3,3,8.34151922622197,12,1,2,3
396,50,"No","Non-Travel","Research & Development",17,3,"Medical","Female",1,"Laboratory Technician","Divorced",42980,1,20,1,31,6,31,14,7,3,4,6.66119220077461,21,1,1,3
397,39,"No","Travel_Rarely","Research & Development",1,3,"Other","Female",3,"Human Resources","Married",68040,8,14,1,13,3,5,0,4,2,3,6.92566030391518,4,4,4,3
398,33,"No","Travel_Rarely","Sales",7,3,"Life Sciences","Male",2,"Manufacturing Director","Divorced",38150,3,11,1,7,3,4,0,3,3,3,9.43973410951873,14,4,2,4
399,32,"Yes","Travel_Rarely","Research & Development",9,1,"Medical","Female",1,"Laboratory Technician","Single",27410,1,15,1,1,5,1,0,1,2,3,10.0423975259275,2,1,4,1
400,29,"No","Travel_Rarely","Research & Development",5,4,"Life Sciences","Female",4,"Healthcare Representative","Divorced",66730,6,12,1,8,2,4,0,3,4,3,6.50033373110342,12,1,4,3
401,44,"No","Travel_Rarely","Research & Development",26,2,"Life Sciences","Male",2,"Manufacturing Director","Married",76390,1,14,0,8,6,8,7,1,3,3,9.79404811231141,10,2,1,3
402,28,"No","Travel_Rarely","Sales",24,5,"Life Sciences","Female",1,"Research Scientist","Single",23280,1,11,2,4,3,4,0,2,3,3,6.46743224434908,22,1,4,3
403,58,"Yes","Travel_Frequently","Sales",9,2,"Technical Degree","Male",1,"Sales Executive","Divorced",21530,9,11,0,3,3,1,0,0,3,3,10.5141182726303,5,4,4,2
404,43,"No","Travel_Rarely","Sales",7,4,"Marketing","Male",2,"Sales Executive","Divorced",48760,4,16,2,4,4,1,0,0,3,3,6.62417368797597,8,1,2,4
405,20,"Yes","Travel_Rarely","Research & Development",11,3,"Medical","Male",2,"Sales Executive","Single",93960,1,12,0,2,6,2,0,2,1,3,7.14848533691311,15,3,3,2
406,21,"Yes","Travel_Rarely","Research & Development",1,3,"Medical","Male",2,"Sales Executive","Single",104000,1,13,1,1,2,1,0,0,3,3,7.91282517121163,4,NA,4,2
407,36,"No","Travel_Rarely","Research & Development",26,4,"Medical","Male",1,"Laboratory Technician","Married",84740,0,14,0,17,3,16,4,11,3,3,10.3130850747983,5,3,4,2
408,47,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences","Male",2,"Manufacturing Director","Single",99810,1,21,1,3,3,3,1,2,3,4,8.5165645539765,12,4,4,2
409,22,"Yes","Travel_Rarely","Research & Development",15,4,"Life Sciences","Female",1,"Laboratory Technician","Married",124900,0,13,0,4,3,3,0,2,3,3,9.82193546209577,8,2,3,4
410,41,"Yes","Travel_Rarely","Research & Development",23,3,"Life Sciences","Female",2,"Sales Executive","Divorced",26570,4,11,0,10,3,7,1,0,4,3,10.4257083240837,18,2,4,2
411,28,"No","Travel_Rarely","Research & Development",10,3,"Life Sciences","Female",3,"Manager","Divorced",135910,5,20,1,6,2,2,2,2,3,4,7.71519857871309,13,3,3,3
412,39,"Yes","Travel_Rarely","Research & Development",10,4,"Life Sciences","Female",4,"Human Resources","Married",66960,7,11,0,8,3,2,2,2,3,3,10.6788879002321,10,4,1,1
413,27,"No","Travel_Rarely","Research & Development",1,3,"Medical","Male",1,"Research Scientist","Single",20580,1,14,1,1,5,1,0,0,3,3,7.71807531378674,10,2,3,3
414,34,"No","Travel_Rarely","Research & Development",12,2,"Technical Degree","Male",2,"Human Resources","Divorced",88650,1,11,1,1,0,1,1,0,3,3,7.75857430806606,3,2,2,3
415,42,"No","Travel_Rarely","Sales",11,1,"Technical Degree","Male",2,"Human Resources","Single",59400,7,16,0,10,2,5,0,3,2,3,6.92439993024321,21,3,3,3
416,33,"No","Travel_Rarely","Sales",2,3,"Marketing","Female",1,"Sales Executive","Single",59140,3,16,1,6,4,3,0,2,3,3,10.5618809516683,11,3,1,3
417,58,"No","Travel_Rarely","Research & Development",2,4,"Life Sciences","Male",1,"Research Scientist","Divorced",26220,2,23,0,24,3,6,0,4,3,4,8.35239873471805,10,3,2,3
418,31,"No","Travel_Rarely","Sales",1,3,"Life Sciences","Female",1,"Sales Representative","Married",121850,3,14,0,13,2,7,5,2,3,3,6.13139358530769,6,2,3,4
419,35,"No","Travel_Rarely","Research & Development",2,1,"Life Sciences","Male",3,"Healthcare Representative","Married",106090,1,22,0,10,3,10,0,7,3,4,10.3955290998164,11,4,4,1
420,49,"No","Travel_Rarely","Research & Development",25,2,"Life Sciences","Female",2,"Sales Executive","Married",43450,4,15,0,29,3,26,1,7,2,3,7.03623236258473,17,1,2,2
421,48,"No","Travel_Rarely","Research & Development",1,4,"Medical","Male",1,"Research Scientist","Married",21770,4,18,0,13,4,0,0,0,3,3,6.74450569645157,10,4,3,2
422,31,"No","Non-Travel","Research & Development",1,2,"Technical Degree","Female",2,"Sales Executive","Married",27930,1,16,0,9,4,9,0,0,3,3,7.12492450569261,5,4,3,2
423,36,"No","Travel_Rarely","Human Resources",2,4,"Technical Degree","Male",1,"Sales Executive","Single",79180,2,12,2,8,3,6,0,1,2,3,6.55055456689878,10,2,4,3
424,38,"No","Travel_Rarely","Sales",6,3,"Other","Male",2,"Sales Executive","Married",87890,1,11,3,15,4,15,5,11,3,3,7.12356836296452,5,4,1,3
425,32,"No","Non-Travel","Sales",18,3,"Marketing","Male",1,"Laboratory Technician","Married",23890,6,12,1,5,4,3,0,2,2,3,7.12464269380849,7,3,2,3
426,25,"Yes","Travel_Rarely","Research & Development",1,2,"Life Sciences","Male",1,"Sales Executive","Married",32120,1,15,1,1,3,1,0,0,2,3,8.93062900974158,16,3,2,3
427,40,"No","Travel_Rarely","Research & Development",1,4,"Medical","Male",2,"Research Scientist","Divorced",192320,2,14,1,11,3,1,0,0,3,3,6.11983082631747,23,1,2,2
428,26,"No","Travel_Frequently","Sales",11,3,"Marketing","Male",2,"Healthcare Representative","Single",22670,1,19,3,7,2,7,0,7,2,3,7.68125759286852,8,3,1,3
429,41,"No","Travel_Rarely","Research & Development",1,4,"Medical","Male",1,"Research Scientist","Single",195170,2,13,0,20,5,18,2,17,3,3,10.7264044234532,16,4,1,3
430,36,"No","Travel_Rarely","Research & Development",9,3,"Life Sciences","Female",2,"Healthcare Representative","Single",24360,4,13,0,16,3,11,3,9,1,3,7.138746692409,11,3,3,3
431,19,"Yes","Travel_Rarely","Research & Development",15,3,"Life Sciences","Male",2,"Research Scientist","Single",160640,1,15,1,1,3,1,0,0,3,3,10.6279528374959,8,4,2,4
432,20,"Yes","Travel_Rarely","Research & Development",29,3,"Life Sciences","Female",3,"Laboratory Technician","Single",27070,1,11,0,1,2,1,0,0,3,3,6.13367844062088,7,1,1,3
433,31,"No","Travel_Rarely","Research & Development",1,4,"Life Sciences","Male",4,"Research Director","Married",190680,0,12,0,10,1,9,8,5,3,3,8.36269568698305,18,4,4,1
434,40,"No","Travel_Frequently","Sales",1,3,"Marketing","Male",1,"Research Scientist","Divorced",39310,8,19,0,3,2,1,0,0,2,3,8.17359552658725,4,4,2,3
435,32,"No","Travel_Rarely","Research & Development",24,3,"Life Sciences","Male",4,"Laboratory Technician","Married",37300,1,25,1,8,4,8,6,3,3,4,7.92980677712304,14,3,1,4
436,36,"Yes","Travel_Rarely","Research & Development",10,3,"Medical","Male",3,"Sales Executive","Married",22320,1,12,1,16,2,16,3,7,3,3,9.82581374040142,12,3,4,3
437,33,"No","Travel_Rarely","Research & Development",1,4,"Medical","Female",4,"Manufacturing Director","Single",44650,0,13,0,6,3,5,1,4,3,3,6.06741885980282,5,2,4,3
438,37,"Yes","Travel_Rarely","Sales",10,4,"Marketing","Female",3,"Human Resources","Married",30720,5,14,0,17,3,14,11,7,2,3,6.32648774639544,23,1,3,1
439,45,"No","Non-Travel","Research & Development",8,1,"Life Sciences","Male",2,"Sales Executive","Married",33190,1,12,1,9,3,9,0,8,3,3,6.35827887289793,12,3,2,2
440,29,"No","Travel_Frequently","Research & Development",29,1,"Life Sciences","Male",1,"Sales Representative","Married",192020,1,12,0,3,5,3,0,2,3,3,7.65919329273855,20,3,4,3
441,35,"No","Travel_Rarely","Human Resources",1,3,"Human Resources","Male",3,"Laboratory Technician","Married",136750,1,15,3,5,5,5,1,0,2,3,6.41937836150788,12,3,3,3
442,52,"No","Travel_Rarely","Research & Development",5,4,"Other","Male",1,"Laboratory Technician","Married",29110,2,17,2,26,3,9,7,8,3,3,7.033434192409,11,4,4,2
443,58,"Yes","Travel_Rarely","Sales",9,2,"Medical","Female",4,"Sales Executive","Single",59570,4,14,1,7,2,1,0,0,1,3,7.51645251705146,19,4,3,3
444,53,"No","Travel_Rarely","Research & Development",9,3,"Technical Degree","Male",1,"Manager","Divorced",39200,6,16,1,22,3,17,15,2,3,3,6.56960740236951,7,3,3,4
445,30,"No","Travel_Rarely","Sales",3,4,"Marketing","Male",1,"Sales Executive","Divorced",64340,5,14,1,10,3,8,7,7,2,3,8.03931955536481,20,3,3,4
446,38,"No","Non-Travel","Sales",4,3,"Life Sciences","Male",2,"Research Director","Single",100480,1,23,1,6,2,5,1,3,3,4,8.13563906067799,21,3,4,3
447,35,"No","Travel_Rarely","Sales",1,2,"Life Sciences","Female",2,"Healthcare Representative","Divorced",109380,6,14,2,12,2,10,0,8,1,3,7.35941904026195,12,4,4,3
448,39,"No","Travel_Rarely","Sales",1,1,"Marketing","Male",2,"Research Scientist","Single",23400,0,11,1,9,2,8,0,7,2,3,6.55894533314341,19,1,3,3
449,40,"Yes","Non-Travel","Research & Development",2,4,"Life Sciences","Male",1,"Human Resources","Single",65450,4,15,0,22,2,1,0,0,3,3,9.49549877061992,12,2,2,2
450,47,"No","Travel_Frequently","Research & Development",7,4,"Life Sciences","Male",3,"Sales Executive","Divorced",69310,1,11,0,20,3,19,2,7,3,3,10.1093133406486,14,3,3,4
451,36,"No","Non-Travel","Sales",28,1,"Life Sciences","Male",2,"Research Scientist","Divorced",48980,4,13,1,12,3,7,0,7,3,3,6.84990908725112,7,1,4,3
452,31,"Yes","Non-Travel","Research & Development",28,4,"Medical","Male",2,"Research Scientist","Single",25930,0,21,0,4,2,3,1,2,3,4,8.22099090537197,11,3,1,3
453,33,"No","Non-Travel","Sales",15,3,"Other","Male",4,"Research Director","Single",194360,1,19,2,10,4,10,6,0,3,3,7.97050586685824,17,4,3,3
454,29,"Yes","Travel_Rarely","Human Resources",3,5,"Life Sciences","Male",1,"Sales Executive","Single",27230,6,11,1,3,2,0,0,0,2,3,10.2969329391239,13,4,1,3
455,33,"No","Travel_Rarely","Research & Development",2,2,"Technical Degree","Male",2,"Laboratory Technician","Single",34790,3,12,0,5,3,3,0,2,3,3,7.55366998898078,5,2,4,3
456,45,"No","Travel_Rarely","Research & Development",26,1,"Medical","Female",3,"Healthcare Representative","Divorced",27940,3,19,1,8,2,5,0,2,3,3,7.05298598793025,8,4,4,3
457,50,"No","Travel_Rarely","Sales",10,1,"Life Sciences","Female",1,"Manufacturing Director","Divorced",52490,9,21,2,32,2,5,1,3,2,4,7.42896808218556,19,4,4,2
458,33,"No","Travel_Frequently","Sales",1,3,"Marketing","Male",2,"Human Resources","Married",21760,1,14,1,6,2,6,1,2,2,3,9.00823633086577,8,3,2,3
459,41,"No","Travel_Frequently","Sales",11,3,"Other","Male",1,"Laboratory Technician","Divorced",168720,2,15,1,21,2,18,0,11,3,3,7.94259792828014,18,1,3,4
460,27,"No","Travel_Rarely","Research & Development",20,4,"Other","Male",2,"Manufacturing Director","Married",34850,9,17,2,4,2,2,2,2,3,3,7.1219682532404,16,3,2,3
461,45,"No","Non-Travel","Sales",2,3,"Medical","Female",1,"Sales Executive","Married",66440,1,12,0,9,3,9,0,8,4,3,8.73188882313454,7,4,1,3
462,47,"No","Travel_Rarely","Sales",18,4,"Medical","Female",2,"Research Scientist","Single",55820,1,16,0,9,3,9,0,7,3,3,8.00666910546605,7,4,4,3
463,30,"Yes","Travel_Rarely","Sales",2,3,"Life Sciences","Male",2,"Healthcare Representative","Married",40000,4,12,0,7,5,5,0,1,2,3,10.5192875553696,14,1,3,3
464,50,"No","Travel_Rarely","Research & Development",1,3,"Technical Degree","Female",2,"Sales Executive","Married",134960,3,18,1,22,3,12,1,5,3,3,9.50244687328955,6,4,3,3
465,38,"No","Travel_Frequently","Research & Development",13,3,"Technical Degree","Male",1,"Manufacturing Director","Married",32100,0,17,2,3,5,2,0,2,2,3,7.74140937470797,5,3,3,2
466,46,"No","Travel_Rarely","Research & Development",28,3,"Medical","Female",3,"Human Resources","Divorced",190450,6,11,3,13,2,8,0,7,3,3,6.93034966102161,7,4,3,3
467,24,"No","Travel_Rarely","Sales",28,3,"Life Sciences","Female",1,"Healthcare Representative","Divorced",118490,1,16,1,5,3,4,3,2,3,3,6.63881226540355,5,4,3,3
468,35,"Yes","Travel_Rarely","Sales",24,3,"Medical","Male",3,"Healthcare Representative","Divorced",20700,1,13,3,5,1,4,0,2,2,3,9.34526726286963,17,3,2,1
469,31,"No","Travel_Frequently","Research & Development",5,2,"Technical Degree","Male",2,"Sales Executive","Married",65020,1,12,0,4,3,4,0,3,3,3,6.34975767559356,7,3,1,3
470,18,"No","Non-Travel","Sales",5,4,"Other","Male",2,"Manager","Single",32300,1,12,1,0,3,0,0,0,3,3,6.36269121219102,14,2,4,3
471,54,"No","Travel_Rarely","Sales",23,3,"Medical","Female",1,"Laboratory Technician","Married",136030,8,13,1,22,2,10,0,8,3,3,6.64835864731966,19,3,3,3
472,35,"No","Travel_Rarely","Research & Development",6,4,"Medical","Female",1,"Manufacturing Director","Divorced",119960,1,19,2,16,3,16,10,1,3,3,9.61129722479497,9,3,3,2
473,30,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences","Female",5,"Healthcare Representative","Married",56050,0,12,1,9,0,8,1,7,2,3,10.1354907118692,16,2,1,2
474,20,"Yes","Travel_Rarely","Research & Development",2,2,"Life Sciences","Female",2,"Research Scientist","Single",63970,1,17,1,1,3,1,0,0,3,3,8.34663482194945,8,4,1,3
475,30,"Yes","Travel_Frequently","Research & Development",8,4,"Medical","Male",1,"Sales Executive","Single",191440,0,11,0,4,3,3,1,2,3,3,7.64547601719973,21,2,2,3
476,26,"No","Travel_Rarely","Sales",1,3,"Marketing","Female",2,"Research Scientist","Married",175840,1,20,0,8,2,8,1,3,3,4,7.96499298640012,19,4,4,3
477,22,"No","Travel_Rarely","Research & Development",8,3,"Other","Male",2,"Sales Representative","Married",49070,NA,21,1,4,2,4,1,1,3,4,7.37493857758621,21,2,1,2
478,48,"No","Travel_Rarely","Human Resources",2,4,"Medical","Male",2,"Sales Executive","Single",45540,2,11,2,19,3,2,2,2,3,3,8.0149173948315,6,1,3,3
479,48,"No","Travel_Rarely","Sales",3,3,"Medical","Male",1,"Research Director","Single",54150,7,11,1,27,1,15,4,8,3,3,6.59100756108891,18,3,3,3
480,41,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences","Male",2,"Research Scientist","Single",47410,6,16,0,8,3,2,2,1,3,3,6.93835433129789,11,4,3,3
481,39,"No","Travel_Rarely","Sales",2,3,"Life Sciences","Male",3,"Human Resources","Married",21150,1,18,0,21,3,21,11,8,4,3,7.1422526060453,12,4,4,3
482,27,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences","Male",2,"Human Resources","Married",31610,0,13,2,4,0,3,2,2,3,3,7.33478814313082,6,1,4,3
483,35,"No","Travel_Rarely","Sales",24,3,"Medical","Male",5,"Sales Executive","Divorced",57450,1,17,3,3,4,3,1,2,3,3,6.97750363685345,11,2,4,2
484,42,"No","Travel_Rarely","Research & Development",23,4,"Other","Male",1,"Research Scientist","Married",23730,6,14,1,21,3,1,0,0,4,3,8.06632263555722,21,4,3,NA
485,50,"No","Travel_Rarely","Sales",27,3,"Medical","Male",2,"Sales Executive","Married",33100,4,22,1,8,3,1,0,0,4,4,6.24162831727519,13,1,4,3
486,59,"No","Travel_Rarely","Research & Development",16,4,"Medical","Female",5,"Laboratory Technician","Single",186650,3,12,0,30,3,5,4,3,2,3,10.1225170290614,4,3,4,3
487,37,"Yes","Travel_Rarely","Sales",15,3,"Marketing","Male",2,"Laboratory Technician","Married",44850,5,11,1,15,2,1,0,0,4,3,6.63797450828788,15,1,2,1
488,55,"No","Travel_Frequently","Research & Development",26,2,"Life Sciences","Female",2,"Sales Executive","Married",27890,3,13,1,17,2,8,6,7,2,3,8.65596188403522,13,3,2,3
489,41,"No","Non-Travel","Research & Development",19,1,"Life Sciences","Male",2,"Research Scientist","Divorced",58280,1,13,0,21,0,21,5,10,3,3,6.32528401533404,22,2,3,3
490,38,"No","Travel_Rarely","Research & Development",24,2,"Other","Female",1,"Laboratory Technician","Single",23260,8,14,0,19,3,1,0,0,4,3,8.41464872251374,21,NA,4,3
491,26,"Yes","Non-Travel","Research & Development",21,1,"Life Sciences","Female",1,"Manufacturing Director","Single",135250,8,17,1,7,4,2,2,2,2,3,7.69836187026168,16,2,1,3
